device_key,device_mac,cow_id,session_id,cache_key,frames,status,source
546C50CA07D0-21074-1,546C50CA07D0,21074-1,2026-07-28 01_26_54,546C50CA07D0_2026_07_28_01_26_54_54c4fd5fd6,179673,included,supervised_cache/session_cache
546C50CA07D0-21074-1,546C50CA07D0,21074-1,2026-07-28 02_33_15,546C50CA07D0_2026_07_28_02_33_15_ba1290dc8c,179673,included,supervised_cache/session_cache
546C50CA07D0-21074-1,546C50CA07D0,21074-1,2026-07-28 03_39_37,546C50CA07D0_2026_07_28_03_39_37_e20b073d7d,179671,included,supervised_cache/session_cache
546C50CA07D0-21074-1,546C50CA07D0,21074-1,2026-07-28 04_45_58,546C50CA07D0_2026_07_28_04_45_58_7b5b1de448,179675,included,supervised_cache/session_cache
546C50CA07D0-21074-1,546C50CA07D0,21074-1,2026-07-28 05_52_04,546C50CA07D0_2026_07_28_05_52_04_63d744aad4,179670,included,supervised_cache/session_cache
546C50CA07D0-21074-1,546C50CA07D0,21074-1,2026-07-28 06_58_05,546C50CA07D0_2026_07_28_06_58_05_a812b30b25,179669,included,supervised_cache/session_cache
546C50CA07D0-21074-1,546C50CA07D0,21074-1,2026-07-28 08_04_18,546C50CA07D0_2026_07_28_08_04_18_2c96a90405,179676,included,supervised_cache/session_cache
546C50CA07D0-21074-1,546C50CA07D0,21074-1,2026-07-28 09_10_45,546C50CA07D0_2026_07_28_09_10_45_ba12dc02f9,179676,included,supervised_cache/session_cache
546C50CA07D0-21074-1,546C50CA07D0,21074-1,2026-07-28 10_16_56,546C50CA07D0_2026_07_28_10_16_56_9d636deba2,179675,included,supervised_cache/session_cache
546C50CA07D0-21074-1,546C50CA07D0,21074-1,2026-07-28 11_22_58,546C50CA07D0_2026_07_28_11_22_58_5ea0c7282f,179673,included,supervised_cache/session_cache
546C50CA07D0-21074-1,546C50CA07D0,21074-1,2026-07-28 12_28_50,546C50CA07D0_2026_07_28_12_28_50_6dcb6350de,179673,included,supervised_cache/session_cache
546C50CA07D0-21074-1,546C50CA07D0,21074-1,2026-07-28 13_35_10,546C50CA07D0_2026_07_28_13_35_10_dd52f491f4,179677,included,supervised_cache/session_cache
546C50CA07D0-21074-1,546C50CA07D0,21074-1,2026-07-28 14_41_29,546C50CA07D0_2026_07_28_14_41_29_68adf4fe7f,179674,included,supervised_cache/session_cache
546C50CA07D0-21074-1,546C50CA07D0,21074-1,2026-07-28 15_47_42,546C50CA07D0_2026_07_28_15_47_42_0937040e62,179667,included,supervised_cache/session_cache
546C50CA07D0-21074-1,546C50CA07D0,21074-1,2026-07-28 16_53_58,546C50CA07D0_2026_07_28_16_53_58_f4936e5f5c,179673,included,supervised_cache/session_cache
546C50CA07D0-21074-1,546C50CA07D0,21074-1,2026-07-28 18_00_15,546C50CA07D0_2026_07_28_18_00_15_195a78a3b6,179672,included,supervised_cache/session_cache
546C50CA07D0-21074-1,546C50CA07D0,21074-1,2026-07-28 19_06_15,546C50CA07D0_2026_07_28_19_06_15_74ad73a9af,179670,included,supervised_cache/session_cache
546C50CA07D0-21074-1,546C50CA07D0,21074-1,2026-07-28 20_12_25,546C50CA07D0_2026_07_28_20_12_25_fb2146f097,179672,included,supervised_cache/session_cache
546C50CA07D0-21074-1,546C50CA07D0,21074-1,2026-07-28 21_18_41,546C50CA07D0_2026_07_28_21_18_41_7ded788b3a,179669,included,supervised_cache/session_cache
546C50CA07D0-21074-1,546C50CA07D0,21074-1,2026-07-28 22_25_06,546C50CA07D0_2026_07_28_22_25_06_5ffadc099a,179673,included,supervised_cache/session_cache
546C50CA07D0-21074-1,546C50CA07D0,21074-1,2026-07-28 23_31_05,546C50CA07D0_2026_07_28_23_31_05_c5f4b3d2f0,179673,included,supervised_cache/session_cache
546C50CA07D0-21074-1,546C50CA07D0,21074-1,2026-07-29 00_37_26,546C50CA07D0_2026_07_29_00_37_26_dbac6ed583,179669,included,supervised_cache/session_cache
546C50CA07D0-21074-1,546C50CA07D0,21074-1,2026-07-29 01_43_28,546C50CA07D0_2026_07_29_01_43_28_a45cb7ff73,179671,included,supervised_cache/session_cache
546C50CA07D0-21074-1,546C50CA07D0,21074-1,2026-07-29 02_49_42,546C50CA07D0_2026_07_29_02_49_42_1d89480290,179674,included,supervised_cache/session_cache
546C50CA07D0-21074-1,546C50CA07D0,21074-1,2026-07-29 03_55_44,546C50CA07D0_2026_07_29_03_55_44_04a1de3c1a,179672,included,supervised_cache/session_cache
546C50CA07D0-21074-1,546C50CA07D0,21074-1,2026-07-29 05_02_01,546C50CA07D0_2026_07_29_05_02_01_a7f472f10f,179678,included,supervised_cache/session_cache
546C50CA07D0-21074-1,546C50CA07D0,21074-1,2026-07-29 06_08_08,546C50CA07D0_2026_07_29_06_08_08_8b53b16a5d,179668,included,supervised_cache/session_cache
546C50CA07D0-21074-1,546C50CA07D0,21074-1,2026-07-29 07_14_23,546C50CA07D0_2026_07_29_07_14_23_a768389192,179673,included,supervised_cache/session_cache
546C50CA07D0-21074-1,546C50CA07D0,21074-1,2026-07-29 08_20_35,546C50CA07D0_2026_07_29_08_20_35_6ef3570c83,179675,included,supervised_cache/session_cache
546C50CA07D0-21074-1,546C50CA07D0,21074-1,2026-07-29 09_26_42,546C50CA07D0_2026_07_29_09_26_42_84baf8dac5,179668,included,supervised_cache/session_cache
546C50CA07D0-21074-1,546C50CA07D0,21074-1,2026-07-29 10_33_02,546C50CA07D0_2026_07_29_10_33_02_5d4d8876db,179668,included,supervised_cache/session_cache
546C50CA07D0-21074-1,546C50CA07D0,21074-1,2026-07-29 11_39_28,546C50CA07D0_2026_07_29_11_39_28_1532667b62,179669,included,supervised_cache/session_cache
546C50CA07D0-21074-1,546C50CA07D0,21074-1,2026-07-29 12_45_38,546C50CA07D0_2026_07_29_12_45_38_c95d6f4663,179670,included,supervised_cache/session_cache
546C50CA07D0-21074-1,546C50CA07D0,21074-1,2026-07-29 13_52_03,546C50CA07D0_2026_07_29_13_52_03_3cf305f202,179676,included,supervised_cache/session_cache
546C50CA07DE-23489-8,546C50CA07DE,23489-8,2026-07-29 17_49_54,546C50CA07DE_2026_07_29_17_49_54_b490c437c1,179309,included,supervised_cache/session_cache
546C50CA07F2-23509-9,546C50CA07F2,23509-9,2026-07-29 16_43_51,546C50CA07F2_2026_07_29_16_43_51_9d623a6cf6,179330,included,supervised_cache/session_cache
546C50CA07F2-23509-9,546C50CA07F2,23509-9,2026-07-29 17_50_27,546C50CA07F2_2026_07_29_17_50_27_140eae90e1,179326,included,supervised_cache/session_cache
546C50CA07F2-23509-9,546C50CA07F2,23509-9,2026-07-29 18_57_11,546C50CA07F2_2026_07_29_18_57_11_12671f185a,179326,included,supervised_cache/session_cache
546C50CA07F2-23509-9,546C50CA07F2,23509-9,2026-07-29 20_03_53,546C50CA07F2_2026_07_29_20_03_53_c8a85a1867,179326,included,supervised_cache/session_cache
546C50CA07F2-23509-9,546C50CA07F2,23509-9,2026-07-29 21_10_26,546C50CA07F2_2026_07_29_21_10_26_e4e403ad05,179323,included,supervised_cache/session_cache
